,year,week,name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_int,defense_int_tds,defense_misc_tds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_tot,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpmade,kicking_xpmissed,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_first_down,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_first_down,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_ret,puntret_tds,puntret_tot,puntret_touchback,puntret_yds,receiving_lng,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_first_down,rushing_lng,rushing_loss,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
580,2015.0,1.0,A.Abdullah,00-0032104,no,DET,RB,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,35.0,,48.0,3.0,0.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,4.0,4.0,0.0,0.0,0.0,,58.0,44.0,7.0,,24.0,,1.0,0.0,0.0,,50.0
549,2015.0,2.0,A.Abdullah,00-0032104,no,DET,RB,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,28.0,,32.0,3.0,0.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,1.0,0.0,0.0,0.0,,6.0,9.0,6.0,,7.0,,0.0,0.0,0.0,,9.0
943,2015.0,3.0,A.Abdullah,00-0032104,yes,DET,RB,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,5.0,1.0,0.0,0.0,,21.0,19.0,8.0,,9.0,,0.0,0.0,0.0,,23.0
931,2015.0,4.0,A.Abdullah,00-0032104,no,DET,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,31.0,2.0,0.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,5.0,0.0,0.0,0.0,,10.0,11.0,13.0,,9.0,,0.0,0.0,0.0,,33.0
582,2015.0,5.0,A.Abdullah,00-0032104,yes,DET,RB,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,41.0,,41.0,1.0,0.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,2.0,0.0,0.0,0.0,,3.0,9.0,6.0,,5.0,,0.0,0.0,0.0,,17.0
74,2015.0,6.0,A.Abdullah,00-0032104,yes,DET,RB,,,,,,,,,,,,,,,,,,,,1.0,0.0,,1.0,,,,,,,,,,,,,,22.0,,22.0,1.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.0,4.0,0.0,0.0,0.0,,17.0,21.0,14.0,,12.0,,0.0,0.0,0.0,,48.0
457,2015.0,7.0,A.Abdullah,00-0032104,yes,DET,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,31.0,3.0,0.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,13.0,,0.0,0.0,0.0,,43.0
100,2015.0,8.0,A.Abdullah,00-0032104,no,DET,RB,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,25.0,,32.0,6.0,0.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,3.0,,0.0,0.0,0.0,,3.0
152,2015.0,10.0,A.Abdullah,00-0032104,no,DET,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,104.0,2.0,0.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,0.0,0.0,0.0,,11.0,7.0,5.0,,9.0,,0.0,0.0,0.0,,15.0
129,2015.0,11.0,A.Abdullah,00-0032104,yes,DET,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,29.0,2.0,0.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,0.0,0.0,0.0,,1.0,2.0,12.0,,9.0,,0.0,0.0,0.0,,44.0
